Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C2960X-48LPS-L#JV,1539536400,FCW2041A5Z0,0,39,IP China,2019-08-06T01:52:28.000Z,WS-C2960X-48LPS-L#JV,WS-C2960X-48LPS-L
USEB,WS-C2960X-48LPS-L#JV,1539536400,FCW2122B4BS,0,39,IP China,2019-08-06T01:52:28.000Z,WS-C2960X-48LPS-L#JV,WS-C2960X-48LPS-L
USEB,WS-C2960X-24PS-L#JV,1539536400,FCW1950B05H,0,39,IP China,2019-08-06T01:52:28.000Z,WS-C2960X-24PS-L#JV,WS-C2960X-24PS-L
USEB,SPA-1X10GE-L-V2#JV,1539536400,SAL1540S0W5,0,39,IP China,2019-08-06T01:52:28.000Z,SPA-1X10GE-L-V2#JV,SPA-1X10GE-L-V2
USEB,SPA-1X10GE-L-V2#JV,1539536400,JAE13219M2E,0,39,IP China,2019-08-06T01:52:28.000Z,SPA-1X10GE-L-V2#JV,SPA-1X10GE-L-V2
USEB,C3K-PWR-265WDC#JV,1539536400,DTN1350D0CD,0,39,IP China,2019-08-06T01:52:28.000Z,C3K-PWR-265WDC#JV,C3K-PWR-265WDC
USEB,NXA-FAN-30CFM-B#JV,1539968400,NID1838I2XI,0,39,from IntellGE,2019-08-06T01:52:38.000Z,NXA-FAN-30CFM-B#JV,NXA-FAN-30CFM-B
USEB,NXA-FAN-30CFM-B-SN#NXA-FAN-30CFM-B#JV,1539968400,NID1838I19O,0,39,from IntellGE,2019-08-06T02:05:21.000Z,NXA-FAN-30CFM-B-SN#NXA-FAN-30CFM-B#JV,NXA-FAN-30CFM-B-SN
USEB,PWR-4430-AC/2#PWR-4430-AC#JV,1539968400,LIT202307ZN,0,39,from IntellGE,2019-08-06T02:05:21.000Z,PWR-4430-AC/2#PWR-4430-AC#JV,PWR-4430-AC/2
NIB,NIM-2GE-CU-SFP#JV,1539968400,FOC2233433P,0,39,from IntellGE,2019-08-06T01:52:38.000Z,NIM-2GE-CU-SFP#JV,NIM-2GE-CU-SFP
NIB,NIM-2GE-CU-SFP#JV,1539968400,FOC22317J5A,0,39,from IntellGE,2019-08-06T01:52:38.000Z,NIM-2GE-CU-SFP#JV,NIM-2GE-CU-SFP
USEB,PWR-4320-AC#JV,1539968400,PST214480C9,0,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-4320-AC#JV,PWR-4320-AC
USEB,PWR-4320-AC#JV,1539968400,PST1848X1Z8,0,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-4320-AC#JV,PWR-4320-AC
USEB,PWR-C1-350WAC#JV,1539968400,LIT17500Z01,0,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-C1-350WAC#JV,PWR-C1-350WAC
USEB,PWR-C1-350WAC#JV,1539968400,LIT17500YZ9,0,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-C1-350WAC#JV,PWR-C1-350WAC
USEB,PWR-C1-350WAC#JV,1539968400,LIT17500X06,1,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-C1-350WAC#JV,PWR-C1-350WAC
USEB,PWR-C1-350WAC#JV,1539968400,LIT17500YX2,0,39,from IntellGE,2019-08-06T01:52:38.000Z,PWR-C1-350WAC#JV,PWR-C1-350WAC
USEB,PWR-C1-350WAC/2#PWR-C1-350WAC#JV,1539968400,LIT17500Z02,0,39,from IntellGE,2019-08-06T02:05:21.000Z,PWR-C1-350WAC/2#PWR-C1-350WAC#JV,PWR-C1-350WAC/2
USEB,PWR-C1-1100WAC#PWR-C1-350WAC#JV,1539968400,LIT17320Q98,0,39,from IntellGE,2019-08-06T02:05:21.000Z,PWR-C1-1100WAC#PWR-C1-350WAC#JV,PWR-C1-1100WAC
